,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year
446,3,1996-07-02,195.0,Wasquehal,Nogent-sur-Oise,Flat Stage,Erik Zabel,GER,1996
447,4,1996-07-03,232.0,Soissons,Lac de Madine,Flat Stage,Cyril Saugrain,FRA,1996
448,5,1996-07-04,242.0,Lac de Madine,Besançon,Flat Stage,Jeroen Blijlevens,NED,1996
449,6,1996-07-05,207.0,Arc-et-Senans,Aix-les-Bains,Hilly Stage,Michael Boogerd,NED,1996
450,7,1996-07-06,200.0,Chambéry,Les Arcs,Mountain Stage,Luc Leblanc,FRA,1996
451,8,1996-07-07,30.5,Bourg-Saint-Maurice,Val d'Isère,Individual Time Trial,Evgueni Berzin,RUS,1996
452,9,1996-07-08,46.0,Le Monêtier-les-Bains,Sestriere,Mountain Stage,Bjarne Riis,DEN,1996
453,10,1996-07-09,208.5,Turin,Gap,Hilly Stage,Erik Zabel,GER,1996
454,11,1996-07-11,202.0,Gap,Valence,Hilly Stage,José Jaime Gonzalez,COL,1996
455,12,1996-07-12,143.5,Valence,Le Puy-en-Velay,Hilly Stage,Pascal Richard,SUI,1996
456,13,1996-07-13,177.0,Le Puy-en-Velay,Super Besse,Hilly Stage,Rolf Sørensen,DEN,1996
457,14,1996-07-14,186.5,Besse,Tulle,Hilly Stage,Djamolidine Abduzhaparov,UZB,1996
458,15,1996-07-15,176.0,Brive-la-Gaillarde,Villeneuve-sur-Lot,Flat Stage,Massimo Podenzana,ITA,1996
459,16,1996-07-16,199.0,Agen,Hautacam,Mountain Stage,Bjarne Riis,DEN,1996
460,17,1996-07-17,262.0,Argelès-Gazost,Pamplona,Mountain Stage,Laurent Dufaux,SUI,1996
461,18,1996-07-18,154.5,Pamplona,Hendaye,Hilly Stage,Bart Voskamp,NED,1996
462,19,1996-07-19,226.5,Hendaye,Bordeaux,Flat Stage,Frédéric Moncassin,FRA,1996
463,20,1996-07-20,63.5,Bordeaux,Saint-Émilion,Individual Time Trial,Jan Ullrich,GER,1996
464,21,1996-07-21,147.5,Palaiseau,Paris,Flat Stage,Fabio Baldato,ITA,1996
465,P,1995-07-01,7.3,Saint-Brieuc,Saint-Brieuc,Individual Time Trial,Jacky Durand,FRA,1995
466,1,1995-07-02,233.5,Dinan,Lannion,Flat Stage,Fabio Baldato,ITA,1995
467,2,1995-07-03,235.5,Perros-Guirec,Vitre,Flat Stage,Mario Cipollini,ITA,1995
468,3,1995-07-04,67.0,Mayenne,Alençon,Team Time Trial,Gewiss–Ballan,,1995
469,4,1995-07-05,162.0,Alençon,Le Havre,Flat Stage,Mario Cipollini,ITA,1995
470,5,1995-07-06,261.0,Fécamp,Dunkirk,Flat Stage,Jeroen Blijlevens,NED,1995
471,6,1995-07-07,202.0,Dunkirk,Charleroi,Flat Stage,Erik Zabel,GER,1995
472,7,1995-07-08,203.0,Charleroi,Liège,Hilly Stage,Johan Bruyneel,BEL,1995
473,8,1995-07-09,54.0,Huy,Seraing,Individual Time Trial,Miguel Indurain,ESP,1995
474,9,1995-07-11,160.0,Le Grand-Bornand,La Plagne,Mountain Stage,Alex Zülle,SUI,1995
475,10,1995-07-12,162.5,La Plagne,L'Alpe d'Huez,Mountain Stage,Marco Pantani,ITA,1995
476,11,1995-07-13,199.0,Le Bourg-d'Oisans,Saint-Étienne,Hilly Stage,Maximilian Sciandri,GBR,1995
477,12,1995-07-14,222.5,Saint-Étienne,Mende,Hilly Stage,Laurent Jalabert,FRA,1995
478,13,1995-07-15,245.0,Mende,Revel,Flat Stage,Serhiy Utchakov,UKR,1995
479,14,1995-07-16,164.0,Saint-Orens-de-Gameville,Guzet-Neige,Mountain Stage,Marco Pantani,ITA,1995
480,15,1995-07-18,206.0,Saint-Girons,Cauterets,Mountain Stage,Richard Virenque,FRA,1995
481,16,1995-07-19,149.0,Tarbes,Pau,Mountain Stage,Cancelled,,1995
482,17,1995-07-20,246.0,Pau,Bordeaux,Flat Stage,Erik Zabel,GER,1995
483,18,1995-07-21,166.5,Montpon-Ménestérol,Limoges,Flat Stage,Lance Armstrong,USA,1995
484,19,1995-07-22,46.5,Lac de Vassivière,Lac de Vassivière,Individual Time Trial,Miguel Indurain,ESP,1995
485,20,1995-07-23,155.0,Sainte-Geneviève-des-Bois,Paris,Flat Stage,Djamolidine Abdoujaparov,UZB,1995
486,P,1994-07-02,7.2,Lille,Lille,Individual Time Trial,Chris Boardman,GBR,1994
487,1,1994-07-03,234.0,Lille,Armentières,Flat Stage,Djamolidine Abdoujaparov,UZB,1994
488,2,1994-07-04,203.5,Roubaix,Boulogne-sur-Mer,Flat Stage,Jean-Paul van Poppel,NED,1994
489,3,1994-07-05,66.5,Calais,Eurotunnel,Team Time Trial,GB–MG Maglificio,,1994
490,4,1994-07-06,204.5,Dover, Brighton,Flat Stage,Francisco Cabello,ESP,1994
491,5,1994-07-07,187.0,Portsmouth,Portsmouth,Flat Stage,Nicola Minali,ITA,1994
492,6,1994-07-08,270.5,Cherbourg,Rennes,Flat Stage,Gianluca Bortolami,ITA,1994
493,7,1994-07-09,259.5,Rennes,Futuroscope,Flat Stage,Ján Svorada,SVK,1994
494,8,1994-07-10,218.5,Poitiers,Trélissac,Flat Stage,Bo Hamburger,DEN,1994
495,9,1994-07-11,64.0,Périgueux,Bergerac,Individual Time Trial,Miguel Indurain,ESP,1994
496,10,1994-07-12,160.5,Bergerac,Cahors,Flat Stage,Jacky Durand,FRA,1994
497,11,1994-07-13,263.5,Cahors,Hautacam,Mountain Stage,Luc Leblanc,FRA,1994
498,12,1994-07-15,204.5,Lourdes,Luz Ardiden,Mountain Stage,Richard Virenque,FRA,1994
499,13,1994-07-16,223.0,Bagnères-de-Bigorre,Albi,Flat Stage,Bjarne Riis,DEN,1994
500,14,1994-07-17,202.0,Castres,Montpellier,Flat Stage,Rolf Sørensen,DEN,1994
501,15,1994-07-18,231.0,Montpellier,Carpentras,Mountain Stage,Eros Poli,ITA,1994
502,16,1994-07-19,224.5,Valréas,Alpe d'Huez,Mountain Stage,Roberto Conti,ITA,1994
503,17,1994-07-20,149.0,Le Bourg-d'Oisans,Val Thorens,Mountain Stage,Nelson Rodriguez,COL,1994
504,18,1994-07-21,174.5,Moutiers,Cluses,Mountain Stage,Piotr Ugrumov,LAT,1994
505,19,1994-07-22,47.5,Cluses,Avoriaz,Individual Time Trial,Piotr Ugrumov,LAT,1994
506,20,1994-07-23,208.5,Morzine,Lac Saint-Point,Hilly Stage,Djamolidine Abdoujaparov,UZB,1994
507,21,1994-07-24,175.0,Disneyland Paris,Paris,Flat Stage,Eddy Seigneur,FRA,1994
508,P,1993-07-03,6.8,Le Puy du Fou,Le Puy du Fou,Individual Time Trial,Miguel Indurain,ESP,1993
509,1,1993-07-04,215.0,Luçon,Les Sables-d'Olonne,Flat Stage,Mario Cipollini,ITA,1993
510,2,1993-07-05,227.5,Les Sables-d'Olonne,Vannes,Flat Stage,Wilfried Nelissen,BEL,1993
511,3,1993-07-06,189.5,Vannes,Dinard,Flat Stage,Djamolidine Abdoujaparov,UZB,1993
512,4,1993-07-07,81.0,Dinard,Avranches,Team Time Trial,GB–MG Maglificio,,1993
513,5,1993-07-08,225.5,Avranches,Évreux,Flat Stage,Jesper Skibby,DEN,1993
514,6,1993-07-09,158.0,Évreux,Amiens,Flat Stage,Johan Bruyneel,BEL,1993
515,7,1993-07-10,199.0,Péronne,Châlons-sur-Marne,Flat Stage,Bjarne Riis,DEN,1993
516,8,1993-07-11,184.5,Châlons-sur-Marne,Verdun,Flat Stage,Lance Armstrong,USA,1993
517,9,1993-07-12,59.0,Lac de Madine,Lac de Madine,Individual Time Trial,Miguel Indurain,ESP,1993
518,10,1993-07-14,203.0,Villard-de-Lans,Serre Chevalier,Mountain Stage,Toni Rominger,SUI,1993
519,11,1993-07-15,179.0,Serre Chevalier,Isola 2000,Mountain Stage,Toni Rominger,SUI,1993
520,12,1993-07-16,286.5,Isola,Marseille,Flat Stage,Fabio Roscioli,ITA,1993
521,13,1993-07-17,181.5,Marseille,Montpellier,Flat Stage,Olaf Ludwig,GER,1993
522,14,1993-07-18,223.0,Montpellier,Perpignan,Flat Stage,Pascal Lino,FRA,1993
523,15,1993-07-19,231.5,Perpignan,Pal,Mountain Stage,Oliverio Rincón,COL,1993
524,16,1993-07-21,230.0,Andorra,Saint-Lary-Soulan Pla d'Adet,Mountain Stage,Zenon Jaskuła,POL,1993
525,17,1993-07-22,190.0,Tarbes,Pau,Mountain Stage,Claudio Chiappucci,ITA,1993
526,18,1993-07-23,199.5,Orthez,Bordeaux,Flat Stage,Djamolidine Abdoujaparov,UZB,1993
527,19,1993-07-24,48.0,Brétigny-sur-Orge,Montlhéry,Individual Time Trial,Toni Rominger,SUI,1993
528,20,1993-07-25,196.5,Viry-Châtillon,Paris,Flat Stage,Djamolidine Abdoujaparov,UZB,1993
529,P,1992-07-04,8.0,San Sebastián,San Sebastián,Individual Time Trial,Miguel Indurain,ESP,1992
530,1,1992-07-05,194.5,San Sebastián,San Sebastián,Hilly Stage,Dominique Arnould,FRA,1992
531,2,1992-07-06,255.0,San Sebastián,Pau,Hilly Stage,Javier Murguialday,ESP,1992
532,3,1992-07-07,210.0,Pau,Bordeaux,Flat Stage,Rob Harmeling,NED,1992
533,4,1992-07-08,63.5,Libourne,Libourne,Team Time Trial,Panasonic–Sportlife,,1992
