,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year
407,8,1998-07-19,190.5,Brive-la-Gaillarde,Montauban,Flat Stage,Jacky Durand,FRA,1998
408,9,1998-07-20,210.0,Montauban,Pau,Flat Stage,Leon van Bon,NED,1998
409,10,1998-07-21,196.5,Pau,Luchon,Mountain Stage,Rodolfo Massi,ITA,1998
410,11,1998-07-22,170.0,Luchon,Plateau de Beille,Mountain Stage,Marco Pantani,ITA,1998
411,12,1998-07-24,222.0,Tarascon-sur-Ariège,Le Cap d'Agde,Flat Stage,Tom Steels,BEL,1998
412,13,1998-07-25,196.0,Frontignan la Peyrade,Carpentras,Flat Stage,Daniele Nardello,ITA,1998
413,14,1998-07-26,186.5,Valréas,Grenoble,Hilly Stage,Stuart O'Grady,AUS,1998
414,15,1998-07-27,189.0,Grenoble,Les Deux Alpes,Mountain Stage,Marco Pantani,ITA,1998
415,16,1998-07-28,204.0,Vizille,Albertville,Mountain Stage,Jan Ullrich,GER,1998
416,17,1998-07-29,149.0,Albertville,Aix-les-Bains,Mountain Stage,—,,1998
417,18,1998-07-30,218.5,Aix-les-Bains,Neuchâtel,Hilly Stage,Tom Steels,BEL,1998
418,19,1998-07-31,242.0,La Chaux-de-Fonds,Autun,Flat Stage,Magnus Bäckstedt,SWE,1998
419,20,1998-08-01,52.0,Montceau-les-Mines,Le Creusot,Individual Time Trial,Jan Ullrich,GER,1998
420,21,1998-08-02,147.5,Melun,Paris,Flat Stage,Tom Steels,BEL,1998
421,P,1997-07-05,7.3,Rouen,Rouen,Individual Time Trial,Chris Boardman,GBR,1997
422,1,1997-07-06,192.0,Rouen,Forges-les-Eaux,Flat Stage,Mario Cipollini,ITA,1997
423,2,1997-07-07,262.0,Saint-Valery-en-Caux,Vire,Flat Stage,Mario Cipollini,ITA,1997
424,3,1997-07-08,224.0,Vire,Plumelec,Flat Stage,Erik Zabel,GER,1997
425,4,1997-07-09,223.0,Plumelec,Le Puy du Fou,Flat Stage,Nicola Minali,ITA,1997
426,5,1997-07-10,261.5,Chantonnay,La Châtre,Flat Stage,Cédric Vasseur,FRA,1997
427,6,1997-07-11,217.5,Le Blanc,Marennes,Flat Stage,Jeroen Blijlevens,NED,1997
428,7,1997-07-12,194.0,Marennes,Bordeaux,Flat Stage,Erik Zabel,GER,1997
429,8,1997-07-13,161.5,Sauternes,Pau,Flat Stage,Erik Zabel,GER,1997
430,9,1997-07-14,182.0,Pau,Loudenvielle,Mountain Stage,Laurent Brochard,FRA,1997
431,10,1997-07-15,252.5,Luchon,Andorra Arcalis,Mountain Stage,Jan Ullrich,GER,1997
432,11,1997-07-16,192.0,Andorra Arcalis,Perpignan,Hilly Stage,Laurent Desbiens,FRA,1997
433,12,1997-07-18,55.0,Saint-Étienne,Saint-Étienne,Individual Time Trial,Jan Ullrich,GER,1997
434,13,1997-07-19,203.5,Saint-Étienne,Alpe d'Huez,Mountain Stage,Marco Pantani,ITA,1997
435,14,1997-07-20,148.0,Le Bourg-d'Oisans,Courchevel,Mountain Stage,Richard Virenque,FRA,1997
436,15,1997-07-21,208.5,Courchevel,Morzine,Mountain Stage,Marco Pantani,ITA,1997
437,16,1997-07-22,181.0,Morzine,Fribourg,Hilly Stage,Christophe Mengin,FRA,1997
438,17,1997-07-23,218.5,Fribourg,Colmar,Flat Stage,Neil Stephens,AUS,1997
439,18,1997-07-24,175.5,Colmar,Montbéliard,Hilly Stage,Didier Rous,FRA,1997
440,19,1997-07-25,172.0,Montbéliard,Dijon,Flat Stage,Mario Traversoni,ITA,1997
441,20,1997-07-26,63.0,Disneyland Paris,Disneyland Paris,Individual Time Trial,Abraham Olano,ESP,1997
442,21,1997-07-27,149.5,Disneyland Paris,Paris,Flat Stage,Nicola Minali,ITA,1997
443,P,1996-06-29,9.4,'s-Hertogenbosch,'s-Hertogenbosch,Individual Time Trial,Alex Zülle,SUI,1996
444,1,1996-06-30,209.0,'s-Hertogenbosch,'s-Hertogenbosch,Flat Stage,Frédéric Moncassin,FRA,1996
445,2,1996-07-01,247.5,'s-Hertogenbosch,Wasquehal,Flat Stage,Mario Cipollini,ITA,1996
